Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
4	2290	39.1671	-41.8843	77.1612	
5	7	39.4908	-52.1051	88.7971	
5	23	39.4425	-52.2139	88.7218	
5	40	39.4084	-52.2109	88.7761	
5	57	39.4292	-52.1178	88.8352	
5	73	39.4136	-52.1405	88.8208	
5	90	39.3927	-52.1032	88.8921	
5	107	39.3663	-52.1026	88.922	
5	123	39.3634	-52.0243	88.9775	
5	140	39.3562	-51.9844	88.9498	
5	157	39.3081	-52.1085	88.9891	
5	173	39.2891	-51.998	89.0948	
5	190	39.2557	-52.0511	89.1201	
5	207	39.2354	-52.0316	89.0837	
5	223	39.2204	-52.0331	89.1861	
5	240	39.1964	-51.9953	89.1811	
5	257	39.1642	-51.9991	89.2228	
5	273	39.1148	-52.0291	89.2483	
5	290	39.1129	-52.0123	89.2816	
5	307	39.0971	-51.9508	89.3083	
5	323	39.079	-51.8622	89.3625	
5	340	39.0109	-51.9701	89.3706	
5	357	38.9584	-51.9483	89.3728	
5	373	38.9581	-51.8811	89.4231	
5	390	38.9146	-51.8881	89.4253	
5	407	38.8867	-51.8271	89.4857	
5	423	38.8673	-51.841	89.4965	
5	440	38.8169	-51.8469	89.5194	
5	457	38.7914	-51.7809	89.5412	
5	473	38.7598	-51.7881	89.5591	
5	490	38.7187	-51.7811	89.5658	
5	507	38.7128	-51.7486	89.5695	
5	523	38.6548	-51.7466	89.5651	
5	540	38.6362	-51.7111	89.5695	
5	557	38.5671	-51.8359	89.6161	
5	573	38.5601	-51.7117	89.5634	
5	590	38.5515	-51.7311	89.6719	
5	607	38.5266	-51.7597	89.6029	
5	623	38.4383	-51.7948	89.6293	
5	640	38.4638	-51.768	89.6247	
5	657	38.3729	-51.8541	89.5703	
5	673	38.3904	-51.7294	89.6562	
5	690	38.41	-51.721	89.6191	
5	707	38.3358	-51.7394	89.6043	
5	723	38.3167	-51.7884	89.5733	
5	740	38.3327	-51.7022	89.5593	
5	757	38.2575	-51.7695	89.5962	
5	773	38.2289	-51.7542	89.5568	
5	790	38.268	-51.6475	89.5392	
5	807	38.195	-51.695	89.4609	
5	823	38.2344	-51.6118	89.4392	
5	840	38.1614	-51.5762	89.4635	
5	857	38.1779	-51.5689	89.3634	
5	873	38.1767	-51.4803	89.3907	
5	890	38.1264	-51.4836	89.2989	
5	907	38.1166	-51.3837	89.3248	
5	923	38.1641	-51.1818	89.2592	
5	940	38.1242	-51.1391	89.239	
5	957	38.1324	-50.9772	89.1787	
5	973	38.0902	-50.9391	89.2333	
5	990	38.092	-50.8207	89.1033	
5	1007	38.1019	-50.6662	89.0917	
5	1023	38.1191	-50.4309	89.0513	
5	1040	38.1442	-50.2404	89.0025	
5	1057	40.225	-47.8382	86.4785	
5	1073	40.2107	-47.6733	86.3956	
5	1090	40.2305	-47.397	86.4549	
5	1107	40.195	-47.2021	86.343	
5	1123	40.197	-47.0406	86.3312	
5	1140	40.168	-46.7343	86.3746	
5	1157	40.1656	-46.5413	86.3505	
5	1173	40.1281	-46.3384	86.3273	
5	1190	40.1281	-46.079	86.3365	
5	1207	40.0962	-45.8408	86.3499	
5	1223	40.093	-45.5677	86.3473	
5	1240	40.0705	-45.3062	86.3367	
5	1257	40.0852	-45.0227	86.3643	
5	1273	40.0325	-44.8148	86.342	
5	1290	40.2317	-45.5441	83.4971	
5	1307	40.2482	-45.2255	83.504	
5	1323	40.1849	-45.0313	83.4513	
5	1340	40.2128	-44.7051	83.5589	
5	1357	40.1644	-44.4406	83.6539	
5	1373	40.1599	-44.1861	83.6994	
5	1390	40.0983	-43.9551	83.6881	
5	1407	40.1028	-43.6734	83.7852	
5	1423	39.9704	-43.6086	83.8066	
5	1440	40.0001	-43.3473	83.8489	
5	1457	39.9346	-43.1397	83.9043	
5	1473	39.9041	-42.9579	83.95	
5	1490	39.9482	-42.7251	83.877	
5	1507	39.8865	-42.6182	83.9244	
5	1523	39.8461	-42.5096	83.9619	
5	1540	39.4104	-43.3031	80.9617	
5	1557	39.2494	-43.4884	80.0408	
5	1573	39.2524	-43.4039	80.0395	
5	1590	39.1622	-43.3752	80.0119	
5	1607	39.1102	-43.3056	79.5284	
5	1623	39.0226	-43.3224	79.4864	
